date_collected,product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location
2021-06-13,9464930777,462140676,Short Sleeves,【Spot sale】【High-quality cloth】Vintage Oil Painting Printed Vacation Style Shirt Women's 2021 Summer New Loose Suit Collar Short blouse labuh blouse women blouse korean style blouse murah blouse putih blouse women muslimah top shirt woman top shirt top,450.0,270,270,40,0,0,0,0,0,0,0.0,1000,0,1,Mainland China
2021-06-13,9220362142,347488706,Short Sleeves,V-neck Short-Sleeved New Korean Style Slim Women Tops Solid Color All-match Shirt,320.0,199,199,38,7,0,1,0,0,8,4.75,7967,25,1,Mainland China
2021-06-13,2810243730,45837310,Short Sleeves,Women Plaid Shirts Long Sleeve Sweet Yellow Korean Style Loose Causal Shirt Tops,416.0,249,249,40,55,9,7,0,0,71,4.68,389,162,1,Mainland China
2021-06-13,4942096740,258468274,Short Sleeves,DIRECT SUPPLIER Lyka Basic Daily Top 1162,150.0,58,58,61,137,2,3,1,1,144,4.9,5802,330,1,"Taytay, Rizal"
2021-06-13,6866686015,341350505,Short Sleeves,[Real Photo] Xiaoran Shirt Korean women 2021 Summer New Chic All-match Temperament Suit Collar Chiffon Short-sleeved Top,541.0,289,289,47,15,1,1,0,0,17,4.82,2962,36,1,Mainland China
2021-06-13,2702598688,21407329,Short Sleeves,Patriciacai knitted Round-neck short sleeve Korean Top #1905,169.0,169,169,34,3737,106,31,5,8,3887,4.94,3869,12836,1,"Binondo, Metro Manila"
2021-06-13,7357578530,187135110,Short Sleeves,Women Puff Off Shoulder Smocked Tops Plaid Square Collar Sweet Exposed Navel Casual Short Sleeve Crop Blouse korean top,421.0,215,215,49,95,9,7,2,0,113,4.74,761,242,1,Mainland China
2021-06-13,6390757748,449754824,Short Sleeves,【BTG】Simple and Versatile Solid Color Long-sleeved T-shirt Ins Korean Style Cropped Crop Top,554.0,277,277,50,0,0,0,0,0,0,0.0,9000,0,1,Mainland China
2021-06-13,9219683373,365058565,Short Sleeves,OnlyYouth Classic knitted blouse korean top short sleeves,199.0,99,99,50,57,3,2,1,1,64,4.78,4,225,1,"Tondo I / Ii, Metro Manila"
2021-06-13,4050900653,303372405,Short Sleeves,Women's Korean style short-sleeved t-shirts women's loose tops plus size women,216.0,138,138,36,82,7,5,2,3,99,4.65,17778,207,1,Mainland China
2021-06-13,2256474527,6381125,Short Sleeves,Sexy Korean Twisted Knit Top (SM654),339.0,169,169,50,913,34,17,7,3,974,4.9,308,2021,1,"Quezon City, Metro Manila"
2021-06-13,11108419530,449754824,Short Sleeves,【BTG】Summer New Korean Version of Solid Color Loose Ins Short-sleeved T-shirt Women's Short Top,572.0,286,286,50,0,0,0,0,0,0,0.0,8000,0,1,Mainland China
2021-06-13,1528016397,21407329,Short Sleeves,Patriciacai knitted Korean Top #8849,275.0,179,179,35,323,10,1,1,0,335,4.96,493,685,1,"Binondo, Metro Manila"
2021-06-13,5765052828,341350505,Short Sleeves,[Real Photo] Xiaoran t shirt Fashion 2021 Ins Student Simple Solid Color Temperament Pit Stripe Knitted Short Sleeve Korean Top,400.0,249,259,38,172,9,0,2,0,183,4.92,5498,540,1,Mainland China
2021-06-13,8264930463,462140676,Short Sleeves,【Spot sale】【Free KN95】short-sleeved new 2021summer thin Korean style loose Hong Kong-style salt shirt fashion for shirt women’s design new Korean style fashion lapel loose wild all-match thin floral long-sleeved shirt women blouse,430.0,258,291,40,0,0,0,0,0,0,0.0,4000,0,1,Mainland China
2021-06-13,7844267471,263745732,Top,Rainbow Short Sleeve T-shirt Summer Men's Tshirt Breathable Loose Top Big Size Korean Style Solid Color Tee Male Round Neck t Shirt for Men Youth,283.0,229,229,19,52,1,0,1,4,58,4.66,11850,132,1,Mainland China
2021-06-13,9349697202,50115524,Top,GEORGINA Smocked Shoulder Top - Lowest Price!!!,200.0,65,65,68,49,2,3,2,0,56,4.75,49769,203,1,"Paranaque City, Metro Manila"
2021-06-13,6202146408,139558229,Top,Bestseller men's T-shirt Top Tees V-Neck  Men’s V Neck Men’s printed graphic tee Mens t shirt Korean,124.0,98,98,21,329,50,20,21,24,444,4.44,494844,1541,1,"Tondo I / Ii, Metro Manila"
2021-06-13,4460815911,331814357,Top,elegant korean sexy sleeves slip top+terno short(BVQ)SALE！SALE!,79.0,79,150,30,959,92,74,21,20,1166,4.67,32297,4232,1,"San Nicolas, Metro Manila"
2021-06-13,6834220459,237008067,Top,Men's Korean retro Hong Kong style student long sleeve casual checkered shirt loose beach shirt Plaid Shirt Men's preppy style student top for men,699.0,598,598,14,18,5,0,1,1,25,4.52,1999,52,1,Mainland China
2021-06-13,2300304599,62404318,Top,Lucky #T182 JUST DO IT Tshirt Unisex TOPS COUPLE TEES Korean Fashion,126.0,62,62,51,1591,26,34,10,24,1685,4.87,1386,4909,1,"Navotas City, Metro Manila"
2021-06-13,6081141510,276895504,Top,10DESIGN NIKE crop  top shirt for women fit S top tees,99.0,43,49,57,98,10,9,1,5,123,4.59,9800,446,1,"Pasay City, Metro Manila"
2021-06-13,5485560950,331422352,Top,Stripe Playboy Crew Neck Korean Cotton Fitted Men’s Oneck Long Sleeves For Men Men fashion,220.0,220,220,50,9,0,0,0,0,9,5.0,160946,338,1,"Binondo, Metro Manila"
2021-06-13,5360035989,100571933,Top,AT Clothing Oversized One Piece Luffy Anime Basic Print T Shirt Short Sleeve Funny Fashion Korean Harajuku Student Plus Size Clothes Summer Anime One Piece Luffy T Shirt Cotton High Quality Raglan Men T-shirt Casual Loose Fit Top Tees for Fans【M-3XL】,399.0,228,228,43,5,1,0,0,0,6,4.83,11651,10,1,Mainland China
2021-06-13,3460360534,328781757,Top,Giselle G&G women's long sleeve Oversized korean shirt printed with tie-dye ink,605.0,424,424,30,1,0,0,0,0,1,5.0,3995,2,1,Mainland China
2021-06-13,9956374537,301669184,Top,Crown Mens Dri-fit VNeck Shirt Dark Color Collection Quick Dry Fit Plain Tshirt Sport Korean Tops,250.0,89,250,64,13,1,0,0,0,14,4.93,2277,74,1,"Quezon City, Metro Manila"
2021-06-13,4134140322,262503614,Top,INS fashion printing Loose Men short sleeve tshirt fashion tshirt Top/ M-3XL Oversize/Couple/Plus Size/Unisex Tee/Man Korean Style Casual Tops Vintage Graphic Tees Statement Printed Clothing Crewneck Trendy Black White Clothes Sale,360.0,199,229,45,480,57,29,2,11,579,4.72,6501,1387,1,Mainland China
2021-06-13,3216471368,62404318,Top,LUCKY #T078 Men's tops Bestseller t-shirt For men Unisex Glow In the Dark Korean Fashion,144.0,59,65,59,7022,693,658,229,345,8947,4.54,12631,48822,1,"Navotas City, Metro Manila"
2021-06-13,4559422710,36754442,Top,kathryn PLUS SIZE Two way Puff shoulder Top fits 2XL 31010#,250.0,80,85,68,2898,165,155,46,113,3377,4.68,5224,9448,1,"Taytay, Rizal"
2021-06-13,2008402459,35902344,Top,[8 Colors] Top Quality Korean Style Stripe Polo for Men Premium Cotton Fits Plus Size,350.0,159,199,55,2035,140,50,14,23,2262,4.83,641,5533,1,"Pasay City, Metro Manila"
2021-06-13,1005173044,35369989,Top,ICM #T078 Men's T- shirt tops/bestseller Dark In The Glow Korean Fashion cotton,144.0,62,62,57,2249,161,172,92,158,2832,4.5,18571,13588,1,"Navotas City, Metro Manila"
2021-06-13,8141820316,276895504,Top,Women's Trendy Posh Front String Crop Top Plain Cotton Spandex tops,99.0,49,49,51,564,40,42,15,25,686,4.61,2074,2647,1,"Pasay City, Metro Manila"
2021-06-13,4158778072,311167337,Top,【2 Color】Long Sleeve Hong Kong Style Classic Top Japanese Trend Men's Korean Loose Couples Student Casual Shirt for Men,758.0,379,379,50,14,1,2,0,0,17,4.71,7960,30,1,Mainland China
2021-06-13,5857680198,47114599,Top,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,199.0,74,74,63,169,4,2,1,1,177,4.92,339,440,1,"Valenzuela City, Metro Manila"
2021-06-13,9855585639,430999411,Top,Summer 2021 women's floral chiffon shirt v-neck short sleeve drawstring top,480.0,288,288,40,0,0,0,0,0,0,0.0,797,0,1,Mainland China
2021-06-13,3050552315,301669184,Top,Crown Mens Dri-fit VNeck Shirt (Army Green) Quick Dry Fit Plain Tshirt Sport Training Korean Tops,250.0,89,89,64,8,0,0,0,0,8,5.0,239,15,1,"Quezon City, Metro Manila"
2021-06-13,1995966363,35902344,Top,HUILISHI Top Quality Hawaiian Floral Polo for Men 12 Designs Korean Fashion Cotton Fits Plus SIze,280.0,185,199,47,4310,282,118,30,76,4816,4.81,329,13902,1,"Pasay City, Metro Manila"
2021-06-13,4657683662,47114599,Top,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,199.0,74,74,63,128,0,3,0,0,131,4.95,318,244,1,"Valenzuela City, Metro Manila"
2021-06-13,8664922301,462140676,Top,【Spot sale】【High-quality cloth】spring and autumn top 2021 new Korean style versatile loose Hong Kong style chic online celebrity long Blouse ladies tops big size ladies tops and blouse ladies tops and blouse apple green ladies tops and dress,280.0,168,192,40,0,0,0,0,0,0,0.0,12000,0,1,Mainland China
2021-06-13,6900189822,69635896,Top,Korean fashion black and white shirts unisex/cotton/hot sale tops,199.0,69,69,65,6,0,0,0,0,6,5.0,144,31,1,"Pasay City, Metro Manila"
2021-06-13,2064635306,62404318,Top,LUCKY #T158 KOREAN FASHION TOPS TSHIRT FOR MEN,144.0,62,62,57,130,2,1,1,2,136,4.89,222,338,1,"Navotas City, Metro Manila"
2021-06-13,3745603642,53430392,Top,Authentic H&M Brand new w/ tag off the shoulder cropped top,395.0,299,299,24,1,0,0,0,0,1,5.0,1,2,1,"Taguig City, Metro Manila"
2021-06-13,3264591330,50114777,Top,Bcua Tie Dye Tops Casual Crop Top Round Neck Shirt Korean Tops TieDye Cotton Tees M1221,150.0,55,55,63,177,4,11,2,11,205,4.63,1078,891,1,"Pasay City, Metro Manila"
2021-06-13,8116799899,268037290,Top,Hashtay TEES Korean men's t-shirt  fashion Tie dye printed cotton tops high quality tshirts,329.0,139,149,58,41,2,0,0,0,43,4.95,701,95,1,"Valenzuela City, Metro Manila"
2021-06-13,7485764106,414866159,Top,Men's long sleeve shirt loose Chinese Linen Shirt three quarters sleeve white shirt men's fashion brand large short sleeve shirt thin casual beach white top Korean shirt m-5xl,582.0,350,350,40,4,1,0,0,0,5,4.8,10476,22,1,Mainland China
2021-06-13,4942096740,258468274,Top,DIRECT SUPPLIER Lyka Basic Daily Top 1162,150.0,58,58,61,137,2,3,1,1,144,4.9,5802,330,1,"Taytay, Rizal"
2021-06-13,5516274059,49774260,Top,ANGELFASHION KOREAN LONGSLEEVE FOR MEN,590.0,219,219,63,54,5,2,1,1,63,4.75,206,144,1,"Tondo I / Ii, Metro Manila"
2021-06-13,3948902675,35902344,Top,HUILISHI Top Quality Polo for Men Anchor Print Cotton Short Sleeve Korean Casual Shirt 4 Colors 8806,500.0,250,250,50,161,5,4,0,3,173,4.86,231,387,1,"Pasay City, Metro Manila"
2021-06-13,4552946319,156756973,Top,【5 Color】Korean Fashion Weather Pattern Printed Short-sleeved T-shirt Unisex Simple and Versatile Loose Casual Tee Tops for Men Summer Trend Couple Round Neck Tshirts,284.0,199,199,30,16,0,0,0,0,16,5.0,24930,57,1,Mainland China
2021-06-13,6390757748,449754824,Top,【BTG】Simple and Versatile Solid Color Long-sleeved T-shirt Ins Korean Style Cropped Crop Top,554.0,277,277,50,0,0,0,0,0,0,0.0,9000,0,1,Mainland China
2021-06-13,3778371908,51801232,Top,SIMPLE ACTIVE 2021 Korean fashion trendy breathable solid color sports top T-shirt,199.0,74,74,63,25,5,0,0,1,31,4.71,899,98,1,"Valenzuela City, Metro Manila"
2021-06-13,3162131349,302250255,Top,【3 Colors 】M-2XL Plain Short-Sleeved Shirt Five-point Sleeve Tops Korean Men's Hooded Drop Shoulder Clothing Black Casual Simple Thin Bts Shirt Couple shirt unisex,498.0,347,357,30,263,38,21,4,2,328,4.7,23864,743,1,Mainland China
2021-06-13,11108419530,449754824,Top,【BTG】Summer New Korean Version of Solid Color Loose Ins Short-sleeved T-shirt Women's Short Top,572.0,286,286,50,0,0,0,0,0,0,0.0,8000,0,1,Mainland China
2021-06-13,9209818691,51801232,Top,SIMPLE Korean CMC Trendy Breathable 7 Color Sports Top Crew Neck T-shirt,399.0,72,72,82,63,10,5,2,1,81,4.63,1340,385,1,"Valenzuela City, Metro Manila"
2021-06-13,4036052741,266644184,Top,【COD】Latest Summer T-shirt High-quality Korean Fashion Short-sleeved Top Couple Style Cotton Landscape Printing Round Neck Tee Men and Women 3 Colors M-2XL,285.0,258,258,9,1200,75,53,16,26,1370,4.76,9246,3921,1,Mainland China
2021-06-13,3976043183,47114599,Top,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,399.0,72,72,82,79,3,2,0,2,86,4.83,1723,219,1,"Valenzuela City, Metro Manila"
2021-06-13,10110169095,462140676,Top,【Spot sale】【High-quality cloth】2021 Summer New Retro Hong Kong-Style Thin Long-Sleeve Chiffon Shirt Women's Blouse Ruffle Floral-Print Sun blouse korean style blouse murah,449.0,270,270,40,0,0,0,0,0,0,0.0,1000,0,1,Mainland China
2021-06-13,3458808759,315447242,Top,M-4XL plus size Korean style short sleeve t-shirt men's rainbow stripe loose top,340.0,239,239,30,19,2,2,1,1,25,4.48,2334,65,1,Mainland China
2021-06-13,4204355747,39587061,Top,korean top sale sleeveless shirts for men/ casual sando for men,99.0,65,65,34,147,12,6,3,4,172,4.72,6633,1067,1,"Bacoor, Cavite"
2021-06-13,8121467165,273569988,Top,SY  Men's tops Bestseller t-shirt For men Unisex Glow In the Dark Korean Fashion SIZE S-XL,300.0,59,69,80,13,2,1,1,0,17,4.59,5937,52,1,"Paranaque City, Metro Manila"
2021-06-13,8264930463,462140676,Top,【Spot sale】【Free KN95】short-sleeved new 2021summer thin Korean style loose Hong Kong-style salt shirt fashion for shirt women’s design new Korean style fashion lapel loose wild all-match thin floral long-sleeved shirt women blouse,430.0,258,291,40,0,0,0,0,0,0,0.0,4000,0,1,Mainland China
2021-06-13,2106672349,139558229,Top,Men's T-shirt tops/bestseller Korean Fashion Cotton Unisex Tees tshirt printed graphic men tshirts,124.0,97,97,22,47,0,1,3,6,57,4.39,494996,148,1,"Tondo I / Ii, Metro Manila"
